musicbrainz_id,genre,broad_genre,country
286c60d0-cade-4782-b726-69b7a1f9e590,bubble trance,others,Germany
05010b18-ba21-46dc-be6d-615d90170b8e,others,others,USA
45c25199-fa62-4d4c-b0a2-11eeed6923c3,cyberpunk,others,France
d945b088-0eb1-49e6-a232-dee95392ed35,folk,others,Spain
bc37fe19-d935-48c0-b2ab-65212e09cf6c,others,others,USA
d5f54887-117b-42a1-9aee-8780b84ebaba,pop,pop,UK
21f3573f-10cf-44b3-aeaa-26cccd8448b5,metal,metal,USA
d308cde9-0e44-4fe0-986d-e4657b6e8b7c,alternative emo,others,USA
93dbb52a-3d19-4f64-adc6-524f1921765b,violin,others,USA
adf0ccd5-ae91-4697-a03d-06fc9d24934a,others,others,USA
c6920169-f502-48ce-a908-dae34f2c9bdb,others,others,UK
5269d3d2-63c6-4b8f-8200-6908ffa365d5,disco,others,USA
cc1ff172-ac70-42b8-bbb8-6ff9b4b15614,pop,pop,USA
f6d410db-cc51-4ee8-aa8d-792ca5f7eb86,pop,pop,France
46f4e349-ddec-4131-9367-91b630a821d0,pop,pop,USA
22568c9d-8ef3-4224-b994-8e0658e1082a,pop,pop,USA
55d4b04a-d861-4417-979c-ee52ff74e730,rock,rock,USA
aa79e742-195b-413d-bf03-9562e9c39519,classical,classic,Germany
c551925a-c036-4a4a-b0e4-3acef542663b,funk,others,UK
3ba0b57d-003a-47fa-8e36-37b847fa9195,fingerstyle,others,France
5a045b09-af06-4348-9ce6-d51b6a370770,lullaby,others,USA
f5a19292-1b45-466b-8732-a80d0eb4eec2,metal,metal,USA
ed241876-0c9e-4af9-b8d6-2dc41d3e438f,blues,others,USA
c743f06f-2fb8-43b5-bcd0-639bcdbb0a30,jazz,jazz,USA
1999a33b-e56e-467d-af1a-53ea14f5a2cd,pop,pop,USA
5f821136-9935-403c-abb5-e78ddda35e9f,pop,pop,USA
f0f84396-2aed-4dd5-82ce-a39d671fb7c5,disco,others,UK
5ccb9a53-092d-4806-b337-470a582893d7,metal,metal,USA
da785f6e-86e2-4efa-aca6-6c3cbd15d91c,rock,rock,UK
68cac857-3147-43d0-879e-c63dc9c82014,classic progressive house,others,UK
42d79b6b-2cfe-43f4-b5d9-239503074153,metal,metal,USA
51a77a0b-69be-41c4-88f4-22f25a9a63e5,rock,rock,France
9190d123-55a4-483e-93aa-6ca5f6b24ade,djent,others,UK
24ea074c-59cc-41c5-a5de-f68c2952965f,soul,others,UK
cfe9f0c3-b6a9-4757-ac95-17f10142c750,others,others,France
d420c755-1d99-44d4-b47a-b298550296f5,rock,rock,USA
c13da818-d566-4f2a-aaaf-1c68301ddc43,chaotic hardcore,others,USA
7cc8b119-b2c4-4917-bf78-c5c66d6f4304,others,others,France
e8993e9d-9313-4447-ad23-791459a3790d,reggae,others,USA
56c2dfbb-6b0c-4a11-9673-67ff03e4b17d,cologne indie,others,Germany
c934023c-cba2-4f83-a2bd-e5866c913937,french techno,others,France
7769477c-81f2-442f-93c2-b9a32f9e3415,electronic,others,Germany
c69cce02-933f-434a-b10a-5c1e0b731a1e,british experimental,others,UK
b7bad434-a608-4bd5-8e6e-201e7f2c48c2,metal,metal,Spain
e68f711c-f0ba-4e5d-bc59-dad57afeb27c,pop,pop,France
acb4865d-0c4c-4dd5-b958-c399b5d75b8e,ghettotech,others,USA
c754774d-d3ea-4216-9486-368c04b1bbe7,rock,rock,USA
e8238c02-1cf0-4a51-bfd0-cee93904d351,pop,pop,USA
9588e7ab-dcf1-4dab-b341-a4e0717423a3,metal,metal,Germany
82d2c56e-cf05-4dfa-b962-58b09e6c5ebd,kindermusik,others,
f47fc54d-b334-4321-8218-00c5b11d4dd1,balkan brass,others,USA
404eb416-6766-459e-a5bd-9d88aa1f8912,electronic,others,Germany
c532c746-29b7-46a1-b37e-705a62827bab,cantautor,others,Spain
3b3c65b5-4d91-42d2-8395-b929852a7f7d,metal,metal,Germany
03017402-d7ba-4a4b-a794-5c3bc6e7e3b1,hard alternative,others,USA
5bd1060b-8608-4817-93ca-207f7c828e2f,metal,metal,USA
ffe9ec08-6b6b-4993-9394-e280b429dbfd,downtempo,others,UK
d1153c78-ade9-44bb-b85c-1880dc7687f2,others,others,USA
371c472e-2fc8-402b-9154-61776163d470,metal,metal,Germany
c1611f46-7e50-48c1-a8c8-28aa8a63a818,blues,others,USA
b2be0622-2ce9-411a-94d4-c9db971f78ab,metal,metal,USA
23f4a28b-8d96-44db-9a3c-1e76ae293c18,others,others,France
576aa78a-d1af-495b-8d9b-f6d31f70920a,nerdcore,others,USA
74963434-dcb6-4b14-98cc-99873b06db66,pop,pop,USA
51cc88e9-657b-4cda-bcb7-0a8faa753b02,metal,metal,USA
9c1bab2e-b931-4daf-aa53-554e13fcfa9d,jazz,jazz,Italy
2e088ea8-b8f7-4df4-ac83-7024a50aabf1,folk,others,USA
4e210d41-b3e3-4e34-8c3b-3b8cc2116562,philly indie,others,USA
f9b57146-c5ce-41ad-adfb-ee904a4f7b19,metal,metal,USA
d8a29ee9-f212-4592-b708-ffe338e562d1,others,others,Germany
ad7eed52-e228-465e-a275-3005c7786dd4,pop,pop,UK
1cf5f079-706d-4b1f-9de9-0bf8e298cc97,pop,pop,UK
5dc3c407-ffa9-4eb7-a463-a75e09d11a84,psychobilly,others,Germany
e390d54f-92f0-4039-9dd3-e8eac130b4c0,jazz,jazz,Italy
f6b997e7-3a71-4f39-98cc-3a1eccbf0a99,country,country,USA
fae834bb-51d6-436f-9492-29455f42ba0d,pop,pop,USA
37116914-db39-443c-981d-75d6326450f1,disco,others,USA
de030dcd-36e3-425e-9201-0d5be10769f1,rock,rock,USA
7b142abf-d2e1-46b8-a3aa-1b7dbe981d77,folk,others,Germany
cd661c5c-c9ce-42ff-83f8-7b1dd1515d64,compositional ambient,others,USA
26afaedd-e99c-45b2-b7f9-6c4c2b33d90c,pop,pop,UK
f30f9355-4b0c-4c32-b28f-c0ef778a566e,hip hop,hip hop,USA
ce3bc975-a76f-415b-a6cd-1e568c5714dd,hip hop,hip hop,USA
4f6dd51e-bfd7-4153-ace7-9316d1757a57,hip hop,hip hop,UK
142b3ba3-8356-4574-98dd-f7c68326c302,others,others,USA
a29878a1-6e2e-46aa-80bd-043c373b225a,scottish indie,others,UK
c1c10a2a-241a-403a-a020-61545f31d374,rock,rock,UK
d3d83a98-4a2e-433c-903c-5b4c79ccb42e,pop,pop,
54af1c9a-511a-4189-8177-b2d01ba1cf2d,disco,others,Germany
3c96a189-e9fa-4e4e-8a20-b8ef6a39bbdd,classic progressive house,others,UK
c0c852b3-0fdc-4482-aac1-8f8e1fa0e98f,country,country,Germany
8ac6cc32-8ddf-43b1-9ac4-4b04f9053176,metal,metal,USA
b4265534-cf8f-4a8f-827d-fc490ccd15b8,jazz,jazz,UK
e113c220-87a8-4aa3-9edb-f52578084d65,jazz,jazz,USA
33c5f321-37b5-4c8e-8eff-a8a6a5ac2e44,rock,rock,USA
86abc000-0534-4ed0-8c51-1a67142a54c6,rock,rock,Germany
10c4141d-7169-4796-9b39-faa2eb5710a6,rock,rock,Germany
6b8072cf-7d49-4484-8041-c84a9e56abc7,others,others,Germany
aa3dbea9-a183-42d4-8b30-a894d1fa3844,horror synth,others,USA
022371c0-e34a-4ce8-aaaf-1cca4f9082e0,german orchestra,others,Germany
4cfe744b-fcfc-4d05-8627-d0f4f3969163,others,others,USA
f0b1619b-6b76-4633-9a83-85b11a17ad98,metal,metal,USA
9b1f75d4-46b5-4fe2-8787-027faa1b4f60,rock,rock,France
a802fee7-86d5-4043-94a3-a5cc5b121cc9,metal,metal,USA
aec46991-e896-4c1f-80cc-aed97b0cdc73,metal,metal,France
bccd8e62-7bec-4e81-8983-bafe36fb1580,belgian dance,others,Germany
083b3a38-13c6-428f-9e02-6c306afa5761,pop,pop,USA
60e2e955-b604-4fc4-bb9c-a200d0a1831b,metal,metal,France
