anchor,positive,negative
acb5a55d-2e39-4098-962e-acbc68adc663,2017acdf-899e-4db3-a237-06696d8af58b,ea99eec5-bd72-4b4f-86e4-54c5a34f7e10
acb5a55d-2e39-4098-962e-acbc68adc663,eeacb319-8d4c-48e0-80a0-944e71c375bf,27258b82-19f7-4788-b370-1269c322ce6d
eeacb319-8d4c-48e0-80a0-944e71c375bf,acb5a55d-2e39-4098-962e-acbc68adc663,e4a135d0-1948-4620-bc07-b0217d09ccc1
acb5a55d-2e39-4098-962e-acbc68adc663,822e92ef-72ea-42e0-9af1-b987816b487a,00c49f40-d715-4b79-b223-432048602cce
acb5a55d-2e39-4098-962e-acbc68adc663,8b07bb3d-aff5-4ce5-9f41-2872bc79320f,21762977-5d60-4fdb-a197-9347df3e6b17
acb5a55d-2e39-4098-962e-acbc68adc663,e0827234-3be3-4973-be59-1aa9575b9c76,8e9516ba-f417-47dd-a8a5-8998b94553f8
acb5a55d-2e39-4098-962e-acbc68adc663,6da0515e-a27d-449d-84cc-00713c38a140,33319aed-9bd7-4cd1-903c-716845c1b7cd
8c332797-2784-45a7-9b5c-3b86f07a03de,960afc67-9c21-46dd-9c7f-ff2b509e3150,8e3ce660-79ed-4072-bd3d-e8db7a409946
960afc67-9c21-46dd-9c7f-ff2b509e3150,8c332797-2784-45a7-9b5c-3b86f07a03de,d5fcca60-4499-432c-9482-e343813835f7
794c6bf2-3241-416f-9b8f-24e2d84a1c4b,4d7928cd-7ed2-4282-8c29-c0c9f966f1bd,05517043-ff78-4988-9c22-88c68588ebb9
4d7928cd-7ed2-4282-8c29-c0c9f966f1bd,794c6bf2-3241-416f-9b8f-24e2d84a1c4b,70261540-4efc-4f62-8573-fdb68d6c2213
794c6bf2-3241-416f-9b8f-24e2d84a1c4b,9d1ebcfe-4c15-4d18-95d3-d919898638a1,95ac1574-7e50-49cd-95be-5f33e118d00e
9d1ebcfe-4c15-4d18-95d3-d919898638a1,794c6bf2-3241-416f-9b8f-24e2d84a1c4b,ad3eb8ea-f541-4e3a-b550-7900bdc4992b
794c6bf2-3241-416f-9b8f-24e2d84a1c4b,d6ed7887-a401-47a8-893c-34b967444d26,8456e9f7-debf-4579-a86c-33a325a35d2d
