anchor,positive,negative
acb5a55d-2e39-4098-962e-acbc68adc663,adddc55b-cc2e-4d21-9926-6620badef239,456685ba-73f5-4a8a-a088-eec5223302c5
adddc55b-cc2e-4d21-9926-6620badef239,acb5a55d-2e39-4098-962e-acbc68adc663,36bb2418-3fa0-40c6-8805-a15498aec764
acb5a55d-2e39-4098-962e-acbc68adc663,2017acdf-899e-4db3-a237-06696d8af58b,20e264d7-b4d5-4e49-8931-a9c67ff07f04
2017acdf-899e-4db3-a237-06696d8af58b,acb5a55d-2e39-4098-962e-acbc68adc663,c433b570-1cb8-472a-bed7-4e24f94ea665
8c332797-2784-45a7-9b5c-3b86f07a03de,51508c1f-8d07-4a00-9cf1-26c570fe7b78,3dd35366-4551-4818-bc87-c0fd83f002b1
51508c1f-8d07-4a00-9cf1-26c570fe7b78,8c332797-2784-45a7-9b5c-3b86f07a03de,fa7b9055-3703-473a-8a09-adf2fe031a24
8c332797-2784-45a7-9b5c-3b86f07a03de,3268f062-6e76-480a-a384-e1dd2a276afb,a77f6f2f-19a2-4648-9018-3ad3aa4c1b9b
3268f062-6e76-480a-a384-e1dd2a276afb,8c332797-2784-45a7-9b5c-3b86f07a03de,c0f2bc61-05d6-4255-9c8b-18ff87cfd1d5
8c332797-2784-45a7-9b5c-3b86f07a03de,dde3d9b1-0e44-48bc-b0c9-d739b3570000,5cad62bb-d08e-4ed7-9b22-7c2026587fc4
dde3d9b1-0e44-48bc-b0c9-d739b3570000,8c332797-2784-45a7-9b5c-3b86f07a03de,21bffe8e-4e04-47f6-b1aa-7ede4b14cc4e
8c332797-2784-45a7-9b5c-3b86f07a03de,cc30e630-8c75-4d78-b205-8e2edc6bdaa7,807b64cd-585e-4433-95ac-b06842574bfa
cc30e630-8c75-4d78-b205-8e2edc6bdaa7,8c332797-2784-45a7-9b5c-3b86f07a03de,329ee384-0ffd-404b-9d87-a1e02fc661e3
794c6bf2-3241-416f-9b8f-24e2d84a1c4b,f37b3f31-b1f8-4b88-8cb5-b34f709b17d7,f9dab2de-f9d8-420f-b9fc-baa6be04c0d9
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,62d364d2-550b-420e-b918-b3bd1e4a2efc,60dd8303-5ee8-4c99-a19c-009e07c17aeb
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,84eac621-1c5a-49a1-9500-555099c6e184,2ff49515-1701-4bac-a53a-04345893f3f3
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,07b6020a-c539-4d68-aeef-f159f3befc76,d8c5c228-0dff-4236-beae-3e2982714a72
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,0039c7ae-e1a7-4a7d-9b49-0cbc716821a6,c13da818-d566-4f2a-aaaf-1c68301ddc43
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,fa97dd36-1b82-43d7-a6e4-2adeafd59cef,89683dc4-71a7-4473-866d-671e0bae7457
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,78f797e3-4913-4026-aad0-1cd858bd735b,3268f062-6e76-480a-a384-e1dd2a276afb
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,9e53f84d-ef44-4c16-9677-5fd4d78cbd7d,758f5585-7633-4398-8df2-b4be04cccf24
6c8b9855-ba8b-48f9-ac1d-42167f7f7b18,c3f28da8-662d-4f09-bdc7-3084bf685930,1fb533cf-f024-4587-a30f-40fbae5e2211
28438dd9-6244-4627-aa42-f9749c4fde08,fb75bc76-a50b-4d3a-b060-63092a4c6bbf,f650539c-890f-4f05-b2c8-258ec098e338
fb75bc76-a50b-4d3a-b060-63092a4c6bbf,28438dd9-6244-4627-aa42-f9749c4fde08,21187c00-048f-4339-b1e9-f8844257588b
28438dd9-6244-4627-aa42-f9749c4fde08,505cc7ac-b92c-46dd-94f2-e22b18fdcf57,7e5cfc9a-e9e1-46f1-b81a-861b12049488
505cc7ac-b92c-46dd-94f2-e22b18fdcf57,28438dd9-6244-4627-aa42-f9749c4fde08,74d03008-2be4-4e55-8249-7f97cca5b160
c3694ddc-f7e5-40dd-9fad-90d11a2c50fa,e8374874-4178-4869-b92e-fef6bf30dc04,f9358a01-d807-4193-b74c-caf619b9496a
c3694ddc-f7e5-40dd-9fad-90d11a2c50fa,e1e05cce-3922-44e1-8f20-015abe5e309d,06e7ad00-7257-4f5e-837f-81eeda8e0685
e1e05cce-3922-44e1-8f20-015abe5e309d,c3694ddc-f7e5-40dd-9fad-90d11a2c50fa,daeea3e4-d2de-4ef4-a5c0-a90bf227c705
c3694ddc-f7e5-40dd-9fad-90d11a2c50fa,429d5f26-329c-41cc-bdff-17c29dbf1fb8,12d5646a-b9e3-4510-ad37-5682c02a66ef
429d5f26-329c-41cc-bdff-17c29dbf1fb8,c3694ddc-f7e5-40dd-9fad-90d11a2c50fa,a668b547-1369-4c74-ab64-c901bab6b746
c3694ddc-f7e5-40dd-9fad-90d11a2c50fa,5c210861-2ce2-4be3-9307-bbcfc361cc01,27d9dfca-2b81-47c6-a06d-56c26229fcd7
5c210861-2ce2-4be3-9307-bbcfc361cc01,c3694ddc-f7e5-40dd-9fad-90d11a2c50fa,36e371e9-e76b-4b66-b813-e1d1af6d7128
c3694ddc-f7e5-40dd-9fad-90d11a2c50fa,e54e065f-0ce6-4779-9a9a-afd7b997471f,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b
e54e065f-0ce6-4779-9a9a-afd7b997471f,c3694ddc-f7e5-40dd-9fad-90d11a2c50fa,6647af6b-8ea2-48bd-9d24-a8c478ed45ce
ff1d04f2-2bbd-47d8-b722-6ac8c53b71b3,6255c59a-de38-44de-b966-a3c4686f9941,1fb15a78-f73c-4583-8090-ea5e6cfd7e16
3fc945b4-bbb8-408a-8c2f-d636441b5dfe,8e9516ba-f417-47dd-a8a5-8998b94553f8,70248960-cb53-4ea4-943a-edb18f7d336f
3fc945b4-bbb8-408a-8c2f-d636441b5dfe,5f8dfb7a-3cf6-47a1-a361-eb3b187f09f6,7a77e35e-e846-4947-8eaa-b71be2cab934
3fc945b4-bbb8-408a-8c2f-d636441b5dfe,28f93e8a-43fa-4cfb-aea5-11252ff937ab,6b367276-e4dc-4a0e-b10e-2eb933d16ff0
3fc945b4-bbb8-408a-8c2f-d636441b5dfe,066e598e-baa0-4e34-b511-c70bcec6f783,bf75ef89-7b4c-4771-ac43-4d5c10617190
3fc945b4-bbb8-408a-8c2f-d636441b5dfe,ebd2ac91-6249-4e4b-bde1-353a424138c9,2be6ae30-d220-4419-80da-2a46813ed872
3fc945b4-bbb8-408a-8c2f-d636441b5dfe,2a5a3b60-d468-4b62-a28f-9c410ad3f71d,a49b5d41-7399-49ef-bcb8-a5779a30d2e9
3fc945b4-bbb8-408a-8c2f-d636441b5dfe,aa266ac7-d919-4132-982e-76cbd95591a7,b72f115c-8afa-4dc5-bc6c-11225a53708a
3fc945b4-bbb8-408a-8c2f-d636441b5dfe,3604c99d-c146-4276-aa0c-9376d333aeb8,2e433b57-1e40-4a8f-b38d-7675fda5698a
3fc945b4-bbb8-408a-8c2f-d636441b5dfe,b10db9ad-b4c3-47f3-a7a4-37864b134f65,aaae09b3-70d9-4a65-bb3f-57e85dfe9b83
3fc945b4-bbb8-408a-8c2f-d636441b5dfe,d6cd2165-7877-4ca7-ace9-34dacadaf393,31bcadcc-e1da-4cad-bec8-2f4f1d41b095
9132d515-dc0e-4494-85ae-20f06eed14f9,6255c59a-de38-44de-b966-a3c4686f9941,6a633a47-c9d8-4726-b7ae-b29b43e0f292
6255c59a-de38-44de-b966-a3c4686f9941,9132d515-dc0e-4494-85ae-20f06eed14f9,7f8759ee-4ddc-4a6b-9d17-0771e1022db7
9132d515-dc0e-4494-85ae-20f06eed14f9,ff1d04f2-2bbd-47d8-b722-6ac8c53b71b3,88d1360a-bc2d-47df-90d1-d2de285560aa
ff1d04f2-2bbd-47d8-b722-6ac8c53b71b3,9132d515-dc0e-4494-85ae-20f06eed14f9,e8993e9d-9313-4447-ad23-791459a3790d
9132d515-dc0e-4494-85ae-20f06eed14f9,c41716b4-0c28-42f0-bc8d-9209473d057a,76a5a114-ed6a-4eb6-8a81-ad5768d4b41c
c41716b4-0c28-42f0-bc8d-9209473d057a,9132d515-dc0e-4494-85ae-20f06eed14f9,8d3ee4ba-be21-470c-bb7c-4c124c3eb989
9132d515-dc0e-4494-85ae-20f06eed14f9,fb75bc76-a50b-4d3a-b060-63092a4c6bbf,a3f36ee1-c236-49eb-b598-078c788781d8
fb75bc76-a50b-4d3a-b060-63092a4c6bbf,9132d515-dc0e-4494-85ae-20f06eed14f9,db4295e7-06e1-433c-93cb-2f2a86a7ea3a
6255c59a-de38-44de-b966-a3c4686f9941,ff1d04f2-2bbd-47d8-b722-6ac8c53b71b3,e0a9c844-ee81-49aa-9976-a4e4e68b866d
6255c59a-de38-44de-b966-a3c4686f9941,c41716b4-0c28-42f0-bc8d-9209473d057a,8baa1d15-abfd-46b3-90bb-23cec2143370
c41716b4-0c28-42f0-bc8d-9209473d057a,6255c59a-de38-44de-b966-a3c4686f9941,1c46e82f-4764-4d82-a33b-5d5aee5e2881
